model,product_threshold,none_threshold,mean_order_f1
logistic,0.46,0.1,0.24505264741888735
logistic,0.46,0.2,0.24606338629259403
logistic,0.46,0.35,0.24630654429811766
logistic,0.46,0.5,0.24628749087231172
logistic,0.46,1.1,0.24628749087231172
logistic,0.48,0.05,0.23585663265732446
logistic,0.48,0.1,0.23714936223295927
logistic,0.48,0.2,0.23813868868528398
logistic,0.48,0.35,0.2384308412143087
logistic,0.48,0.5,0.23844989464011465
logistic,0.48,1.1,0.23844989464011465
logistic,0.5,0.05,0.22751728913518085
logistic,0.5,0.1,0.2288017622262998
logistic,0.5,0.2,0.2297880038382559
logistic,0.5,0.35,0.2300420495156687
logistic,0.5,0.5,0.23005475179953933
logistic,0.5,1.1,0.23005475179953933
lightgbm,0.1,0.05,0.35081231755248155
lightgbm,0.1,0.1,0.3507436666696458
lightgbm,0.1,0.2,0.34963555994550055
lightgbm,0.1,0.35,0.34710352187120197
lightgbm,0.1,0.5,0.34529105718052683
lightgbm,0.1,1.1,0.3440614761018489
lightgbm,0.12,0.05,0.3654203496317473
lightgbm,0.12,0.1,0.3652507611673242
lightgbm,0.12,0.2,0.36394730592362057
lightgbm,0.12,0.35,0.36145620659538985
lightgbm,0.12,0.5,0.35961455689534527
lightgbm,0.12,1.1,0.35874953136375465
lightgbm,0.14,0.05,0.3749361318058996
lightgbm,0.14,0.1,0.3746267730703315
lightgbm,0.14,0.2,0.37324015149469986
lightgbm,0.14,0.35,0.3707484692911054
lightgbm,0.14,0.5,0.36895282000479235
lightgbm,0.14,1.1,0.3682630859906166
lightgbm,0.16,0.05,0.38016265295370133
lightgbm,0.16,0.1,0.37983002348031414
lightgbm,0.16,0.2,0.37838876897145807
lightgbm,0.16,0.35,0.37644909998087833
lightgbm,0.16,0.5,0.37488753564018135
lightgbm,0.16,1.1,0.3742054229963279
lightgbm,0.18,0.05,0.38270181862237357
lightgbm,0.18,0.1,0.382379483358409
lightgbm,0.18,0.2,0.3812154017355209
lightgbm,0.18,0.35,0.3794302469551676
lightgbm,0.18,0.5,0.37821128135658155
lightgbm,0.18,1.1,0.37766508315014397
lightgbm,0.2,0.05,0.38321420918386917
lightgbm,0.2,0.1,0.3830963819654017
lightgbm,0.2,0.2,0.38212647461069144
lightgbm,0.2,0.35,0.3806024727380118
lightgbm,0.2,0.5,0.37949129509112806
lightgbm,0.2,1.1,0.37909752429113824
lightgbm,0.22,0.05,0.3809650837779859
lightgbm,0.22,0.1,0.3809057339110757
lightgbm,0.22,0.2,0.3801018772997348
lightgbm,0.22,0.35,0.37873338767387155
lightgbm,0.22,0.5,0.37764761459472906
lightgbm,0.22,1.1,0.37735546206570436
lightgbm,0.24,0.05,0.37722495806797046
lightgbm,0.24,0.1,0.37742204586699407
lightgbm,0.24,0.2,0.3766636150422574
lightgbm,0.24,0.35,0.37563872219509487
lightgbm,0.24,0.5,0.3747557320048872
lightgbm,0.24,1.1,0.3745270908952157
lightgbm,0.26,0.05,0.37205079772783434
lightgbm,0.26,0.1,0.37223830636363203
lightgbm,0.26,0.2,0.3718074817368619
lightgbm,0.26,0.35,0.37087767455753107
lightgbm,0.26,0.5,0.37000121697045696
lightgbm,0.26,1.1,0.369842438422074
lightgbm,0.28,0.05,0.365716999349461
